blink_signal_energy_mean_EEG-E8,blink_signal_energy_std_EEG-E8,blink_signal_energy_cv_EEG-E8,teager_kaiser_energy_mean_EEG-E8,teager_kaiser_energy_std_EEG-E8,teager_kaiser_energy_cv_EEG-E8,blink_line_length_mean_EEG-E8,blink_line_length_std_EEG-E8,blink_line_length_cv_EEG-E8,blink_velocity_integral_mean_EEG-E8,blink_velocity_integral_std_EEG-E8,blink_velocity_integral_cv_EEG-E8
3.8933378905022335e-09,4.3980673565085713e-10,0.11296392658951131,3.1205479662645053e-10,3.620475434169389e-11,0.1160205025947199,0.0004048818575533965,7.494157696968446e-06,0.018509492478259792,0.00039847760176220013,9.283822635423091e-06,0.023298229547575443
2.3632756777740226e-09,0.0,0.0,1.8372719502345115e-10,0.0,0.0,0.0003061684093956964,0.0,0.0,0.0003017865978884167,0.0,0.0
,,,,,,,,,,,
,,,,,,,,,,,
3.274178438886829e-09,0.0,0.0,2.1280356228534798e-10,0.0,0.0,0.00040260011221909364,0.0,0.0,0.00040097689637156155,0.0,0.0
,,,,,,,,,,,
3.1554470683629416e-09,0.0,0.0,1.9319863707457702e-10,0.0,0.0,0.00036174422304797034,0.0,0.0,0.00033739539478197116,0.0,0.0
,,,,,,,,,,,
2.282161679455875e-09,0.0,0.0,1.5854694894097115e-10,0.0,0.0,0.0002587766503134172,0.0,0.0,0.00024362484014899325,0.0,0.0
,,,,,,,,,,,
,,,,,,,,,,,
3.173243383377154e-09,0.0,0.0,2.855352118430624e-10,0.0,0.0,0.0003942869452438077,0.0,0.0,0.0003406350760349015,0.0,0.0
,,,,,,,,,,,
1.6217865246210766e-09,7.982132286618248e-10,0.49218144098732347,1.5239806501767662e-10,4.847301516048624e-11,0.31806844237073395,0.00025263381784260434,3.41150630751003e-05,0.13503759459612263,0.00022886577908764065,2.4986234290074714e-05,0.10917418230755511
3.364845641947656e-09,0.0,0.0,2.0996097079701757e-10,0.0,0.0,0.0003650688408040468,0.0,0.0,0.0003294149269042066,0.0,0.0
,,,,,,,,,,,
1.2150674621126798e-09,0.0,0.0,9.697432030799719e-11,0.0,0.0,0.00020432452936213624,0.0,0.0,0.00017999635035190176,0.0,0.0
3.3917473955302514e-09,9.813674640207243e-10,0.2893397855376849,2.282600035530819e-10,3.4686800698309285e-11,0.1519617986435493,0.0003537214642879295,2.163680619432737e-05,0.061169050732852885,0.00032309627246686947,1.1959368726165783e-05,0.037014876819391675
,,,,,,,,,,,
2.2039545182606657e-09,1.0795339432467998e-10,0.04898167971718195,2.1514875639469293e-10,9.945470510578123e-12,0.04622601904485583,0.00027278179914085585,1.9455019495740806e-05,0.071320812301318,0.00022401101800356227,3.2236354034036944e-05,0.1439052164546849
3.0618218133256297e-09,1.5748354060721014e-10,0.05143458705591941,2.0807835389574811e-10,2.934527546293383e-11,0.14102992893550312,0.000298565596164831,2.0458557688693023e-05,0.06852282363235963,0.0002703428713192067,1.4947727585925364e-05,0.05529173938629908
,,,,,,,,,,,
3.958201651165261e-09,0.0,0.0,4.14294232797497e-10,0.0,0.0,0.00037947792921174826,0.0,0.0,0.0002933006342147606,0.0,0.0
1.0801819848627208e-09,2.8966401426271894e-10,0.26816223406978223,1.0945950648621185e-10,3.935401043596308e-12,0.03595303112472952,0.00023687757296798407,1.0719808365530423e-05,0.045254636102588286,0.0001880334140229973,1.7793976547730403e-05,0.09463199208601362
2.067050085418968e-09,1.2184326206629586e-09,0.5894548125649292,2.0687854888975598e-10,1.013554180803048e-10,0.48992715109538176,0.00032367313170758995,0.00011639147446104747,0.359595725005055,0.0002652642567864148,8.627176779300366e-05,0.3252295233370543
1.398770984161989e-09,1.390870103633832e-09,0.9943515553170482,1.0242679668763356e-10,9.779941683697213e-11,0.9548225659660787,0.00015438314764101076,0.00012020564975561908,0.7786189852478906,0.00012493681059657342,0.00010850377170163681,0.868469198017231
,,,,,,,,,,,
