candidate_id,blink_type,coarse_onset_time,coarse_offset_time,coarse_duration,refined_onset_time,refined_offset_time,refined_duration,onset_offset_seconds,offset_offset_seconds,refined_start_sample,refined_end_sample,refined_lowest_point_sample,coarse_start_sample,coarse_end_sample,threshold_crossing_found,refined_left_threshold,refined_right_threshold,search_window_start_sample,search_window_end_sample,search_window_start_time,search_window_end_time,refinement_succeeded,search_exhausted,extension_seconds_used,extension_attempts,left_interpolated_threshold,right_interpolated_threshold,left_interpolated_threshold_sample,right_interpolated_threshold_sample,left_interpolated_threshold_found,right_interpolated_threshold_found,interpolated_thresholds_found,refinement_used_outward_extension,refinement_fallback_to_coarse,threshold_value,threshold_index,blink_type_original,ear_mean,ear_median,ear_std,ear_var,ear_mad,ear_iqr,ear_skewness,ear_kurtosis,ear_min,ear_max,ear_time_of_min,ear_baseline,ear_blink_depth,max_closing_speed,max_opening_speed,max_negative_slope,max_positive_slope,mean_closing_slope,mean_reopening_slope,max_negative_acceleration,max_positive_acceleration,time_to_close,time_to_reopen,ear_p5,ear_p10,ear_p90,ear_p95,closed_duration_seconds,closed_fraction,time_under_threshold_seconds,time_under_threshold_fraction,auc_below_threshold,classification_threshold,blink_classification,blink_classification_computed,ear_threshold_closing_slope,ear_threshold_opening_slope,refined_closing_slope,refined_opening_slope,interpolated_closing_slope,interpolated_opening_slope
0,HB_CL,11.766667,12.033334,0.266667,11.79,11.97,0.18,0.02333299999999916,-0.06333399999999934,1179,1197,1184.0,1177,1204,True,1179,1197,1172,1209,11.72,12.09,True,False,0.0,0,11.784410337114705,11.969771600415049,1178.0,1197.0,True,True,True,False,False,0.26,0,HB_CL,0.23174898593853682,0.26267388463020325,0.05420940916622858,0.0029386600421515874,0.020660996437072754,0.09785477072000504,-0.6907573868240114,1.8607203728356,0.1263081133365631,0.28751635551452637,11.84,0.2783954894542694,0.15208737611770629,-3.325318545103073,1.985778659582138,-3.325318545103073,1.985778659582138,-2.27274422844251,0.9495808609894344,-50.85952579975128,126.98188424110413,0.05,0.13,0.13420763313770295,0.15135384798049928,0.2832211792469025,0.2851924210786819,0.18,0.9473684210526315,0.18,0.9473684210526315,0.01410729639530182,0.26,HB_CL,full,-2.4952423572540283,1.0295395667736347,-2.4952423572540283,1.0295395667736347,-2.4049774674709026,1.0302091230735348
1,HB_CL,12.166667,12.366667,0.2,12.18,12.35,0.17,0.013332999999999373,-0.016666999999999987,1218,1235,1223.0,1217,1237,True,1218,1235,1212,1242,12.12,12.42,True,False,0.0,0,12.172880540904357,12.344195297961074,1217.0,1234.0,True,True,True,False,False,0.26,0,HB_CL,0.22970770358255035,0.26873406767845154,0.06434711024493098,0.004140550596873301,0.01590345799922943,0.0947742760181427,-0.9966113776659277,2.6143884455332143,0.08220742642879486,0.2874479293823242,12.23,0.2677580463886261,0.18555061995983124,-4.482584819197655,2.6029858738183975,-4.482584819197655,2.6029858738183975,-2.8927952672044435,1.4412331466491406,-75.05988702178001,198.46098497509956,0.05,0.12,0.09509511552751064,0.12051181644201278,0.28375993967056273,0.2853156074881554,0.17,0.9444444444444444,0.17,0.9444444444444444,0.015241407361626626,0.26,HB_CL,full,-3.2377737760543823,1.5388825287421546,-3.2377737760543823,1.5388825287421546,-3.1126445590722627,1.556916762297962
2,HB_CL,35.8,36.066666999999995,0.266667,35.82,36.03,0.21,0.020000000000003126,-0.03666699999999423,3582,3603,3592.0,3580,3607,True,3582,3603,3575,3612,35.75,36.12,True,False,0.0,0,35.81403668272211,36.02784861006389,3581.0,3603.0,True,True,True,False,False,0.26,0,HB_CL,0.24984643501894815,0.25945819914340973,0.03187257320073032,0.001015860922435913,0.022814631462097168,0.047704365104436874,-0.5565594088433529,2.296469671201519,0.1787881851196289,0.29298171401023865,35.92,0.2863096272945404,0.1075214421749115,-1.3979673385620117,2.284592390060425,-1.3979673385620117,2.284592390060425,-0.7048363035375421,0.7903704419732094,-109.6830889582634,114.2040267586708,0.1,0.11,0.1864350013434887,0.2047702804207802,0.28614766597747804,0.28929171711206436,0.21,0.9545454545454546,0.21,0.9545454545454546,0.007818487203121187,0.26,HB_CL,full,-0.778578519821167,0.7829714905131947,-0.778578519821167,0.7829714905131947,-0.7664144249787126,0.7530167967140329
3,HB_CL,120.777778,121.044445,0.266667,120.85,121.04,0.19,0.07222199999999646,-0.004444999999989818,12085,12104,12089.0,12078,12105,True,12085,12104,12073,12110,120.73,121.1,True,False,0.0,0,120.84251864596689,121.0342477261232,12084.0,12103.0,True,True,True,False,False,0.26,0,HB_CL,0.24130534380674362,0.25626973807811737,0.05073790797549473,0.002574335305729772,0.028796076774597168,0.06149281933903694,-1.212620012160316,3.45891708801969,0.11470786482095718,0.2933619022369385,120.89,0.2817565953731537,0.1670487305521965,-3.724651038646698,3.1112775206565857,-3.724651038646698,3.1112775206565857,-2.8780514001846313,0.9365155594423413,-110.6797531247139,175.71564763784409,0.04,0.15,0.13219860307872297,0.1596700578927994,0.28544389009475707,0.2866810366511345,0.19,0.95,0.19,0.95,0.011210194849967959,0.26,HB_CL,full,-3.1596986576914787,1.0180987417697906,-3.1596986576914787,1.0180987417697906,-3.0599829793760165,1.0072403848844986
4,B_CL,199.711111,200.077778,0.366667,199.8,200.09,0.29,0.08888900000002309,0.012222000000008393,19980,20009,19984.0,19971,20008,True,19980,20009,19966,20013,199.66,200.13,True,False,0.0,0,199.7926422857621,200.0893504778068,19979.0,20009.0,True,True,True,False,False,0.26,0,B_CL,0.22013285726308823,0.22711029648780823,0.05072620800401243,0.002573148178466335,0.0398295521736145,0.08159245178103447,-0.494085439044176,1.7805502859443711,0.1300092190504074,0.28014200925827026,199.84,0.27435479283332825,0.14434557378292084,-3.794872760772705,1.6451038420200348,-3.794872760772705,1.6451038420200348,-2.5347410142421722,0.49302431826408094,-65.36204367876053,147.95783907175064,0.04,0.25,0.13469047471880913,0.13906918466091156,0.2731160581111908,0.27753785699605943,0.29,0.9666666666666667,0.29,0.9666666666666667,0.02171318107247353,0.26,B_CL,full,-2.7516059577465057,0.5211493372917175,-2.7516059577465057,0.5211493372917175,-2.744870250632797,0.5213175530801208
5,HB_M,257.1,257.5,0.4,257.14,257.48,0.34,0.03999999999996362,-0.01999999999998181,25714,25748,25729.0,25710,25750,True,25714,25748,25705,25755,257.05,257.55,True,False,0.0,0,257.13907202677854,257.47050995133503,25714.0,25747.0,True,True,True,False,False,0.26,0,HB_M,0.24999021887779235,0.25027960538864136,0.023577706430820557,0.000555908240537957,0.020417600870132446,0.041849374771118164,-0.0139744281126908,1.8505041036992191,0.20913906395435333,0.29503104090690613,257.29,0.27103080034255983,0.0618917363882065,-1.1075541377067566,1.3068348169326782,-1.1075541377067566,1.3068348169326782,-0.3322077915072441,0.27918320149183273,-75.67815482616425,84.14637297391891,0.15,0.19,0.21531475633382796,0.21927495002746583,0.27677232027053833,0.2868412226438522,0.34,0.9714285714285714,0.34,0.9714285714285714,0.008636412286758427,0.26,HB_M,full,-0.33293694257736206,0.29032410759674876,-0.33293694257736206,0.29032410759674876,-0.3369881338763416,0.28176250488956706
6,B_CL,333.047222,333.51388899999995,0.466667,333.19,333.59,0.4,0.14277800000002117,0.0761110000000258,33319,33359,33329.0,33305,33352,True,33319,33359,33295,33362,332.95,333.62,True,False,0.1,1,333.18533389245016,333.5876433575049,33319.0,33359.0,True,True,True,True,False,0.26,0,B_CL,0.22487250043720494,0.2262917160987854,0.044023634733743114,0.001938080415170033,0.03713449835777283,0.06968928873538971,-0.3353626621948696,2.1828559251208204,0.13701224327087402,0.302239328622818,333.29,0.27527871131896975,0.13826646804809573,-2.622062712907791,1.4868676662445068,-2.622062712907791,1.4868676662445068,-1.073856313120235,0.42520662949931237,-107.58083313703537,107.00352489948273,0.1,0.3,0.1483231633901596,0.15307265520095825,0.27296510338783264,0.2857569456100464,0.4,0.975609756097561,0.4,0.975609756097561,0.024151796489953997,0.26,B_CL,full,-1.1194148659706116,0.4213799039522807,-1.1194148659706116,0.4213799039522807,-1.1750485387118985,0.41320511151377076
7,HB_CL,397.338889,397.705556,0.366667,397.41,397.72,0.31,0.07111100000003034,0.01444400000002588,39741,39772,39751.0,39734,39771,True,39741,39772,39729,39776,397.29,397.76,True,False,0.0,0,397.4011157338531,397.7130741656744,39740.0,39771.0,True,True,True,False,False,0.26,0,HB_CL,0.24198063749533433,0.24839483946561813,0.03570424929132675,0.0012747934174572066,0.017676115036010742,0.03231576085090637,-0.6004761003915011,2.6985074972046204,0.1650829017162323,0.3003256320953369,397.51,0.2957673490047455,0.1306844472885132,-1.285332441329956,1.5578679740428925,-1.285332441329956,1.5578679740428925,-0.807257741689682,0.4870246418497779,-66.8073445558548,73.86740297079086,0.1,0.21,0.17037186920642852,0.18360753059387208,0.28549677431583403,0.29518724530935286,0.31,0.96875,0.31,0.96875,0.01215601412057877,0.26,HB_CL,full,-0.8551672101020813,0.4898755323319208,-0.8551672101020813,0.4898755323319208,-0.8717246452826339,0.46740114858304016
8,B_CL,402.722222,403.01944399999996,0.297222,402.67,402.71,0.04,-0.05222199999997201,-0.30944399999998495,40267,40271,40268.0,40272,40302,True,40267,40271,40267,40307,402.67,403.07,True,False,0.0,0,402.6672365425122,402.70889795696894,40267.0,40271.0,True,True,True,False,False,0.26,0,B_CL,0.2588788962364197,0.25805285573005676,0.03229578704951938,0.0010430178611479037,0.025467276573181152,0.05326242744922638,-0.5920896308183825,3.2162611874104527,0.25423282384872437,0.3025995194911957,402.68,0.2879941415786743,0.03376131772994995,-0.38200318813323975,0.2856224775314331,-0.38200318813323975,0.2856224775314331,-0.27817338705062866,0.13497136533260345,-3.2970309257507324,27.897879481315613,0.01,0.03,0.21150078773498535,0.22900425791740417,0.2997055113315582,0.30154016613960266,0.04,0.8,0.04,0.8,0.0001539642453193668,0.26,B_CL,full,-0.38200318813323975,0.20152032375335693,-0.38200318813323975,0.20152032375335693,-0.4518506178124366,0.19957037646210302
9,HB_CL,403.277778,403.577778,0.3,403.3,403.32,0.02,0.022221999999999298,-0.25777800000003026,40330,40332,40331.0,40328,40358,True,40330,40332,40323,40363,403.23,403.63,True,False,0.0,0,403.29890101243734,403.31205834106896,40330.0,40331.0,True,True,True,False,False,0.26,0,HB_CL,0.27016029409740283,0.2697417140007019,0.008712420114538679,7.590626425221819e-05,0.006142944097518921,0.011821091175079346,0.5203911284638599,2.273506880462859,0.25869816541671753,0.28903043270111084,403.31,0.25724283218383787,-0.001455333232879663,-0.06561279296875,0.6324678659439087,-0.06561279296875,0.6324678659439087,0.10890737175941467,0.457947701215744,34.904032945632935,34.904032945632935,0.01,0.01,0.25935736298561096,0.2596069395542145,0.2831057071685791,0.28554107546806334,0.02,0.6666666666666666,0.02,0.6666666666666666,1.947541236877459e-05,0.26,HB_CL,full,-0.06561279296875,0.6324678659439087,-0.06561279296875,0.6324678659439087,-0.11729309326032857,0.632467865950164
